1	1	0
1	1.004	0.00400799
1	1.008	0.00803192
1	1.012	0.0120717
1	1.016	0.0161273
1	1.02	0.0201987
1	1.024	0.0242857
1	1.028	0.0283884
1	1.032	0.0325066
1	1.036	0.0366404
1	1.04	0.0407895
1	1.044	0.0449541
1	1.048	0.049134
1	1.052	0.0533292
1	1.056	0.0575395
1	1.06	0.061765
1	1.064	0.0660057
1	1.068	0.0702613
1	1.072	0.0745319
1	1.076	0.0788175
1	1.08	0.0831179
1	1.084	0.0874332
1	1.088	0.0917632
1	1.092	0.0961079
1	1.096	0.100467
1	1.1	0.104841
1	1.104	0.10923
1	1.108	0.113633
1	1.112	0.11805
1	1.116	0.122482
1	1.12	0.126928
1	1.124	0.131389
1	1.128	0.135863
1	1.132	0.140352
1	1.136	0.144855
1	1.14	0.149372
1	1.144	0.153903
1	1.148	0.158448
1	1.152	0.163007
1	1.156	0.16758
1	1.16	0.172167
1	1.164	0.176768
1	1.168	0.181382
1	1.172	0.18601
1	1.176	0.190652
1	1.18	0.195307
1	1.184	0.199976
1	1.188	0.204658
1	1.192	0.209354
1	1.196	0.214063
1	1.2	0.218786
1	1.204	0.223522
1	1.208	0.228271
1	1.212	0.233034
1	1.216	0.237809
1	1.22	0.242598
1	1.224	0.2474
1	1.228	0.252215
1	1.232	0.257043
1	1.236	0.261884
1	1.24	0.266738
1	1.244	0.271605
1	1.248	0.276485
1	1.252	0.281377
1	1.256	0.286283
1	1.26	0.291201
1	1.264	0.296132
1	1.268	0.301075
1	1.272	0.306031
1	1.276	0.311
1	1.28	0.315981
1	1.284	0.320975
1	1.288	0.325981
1	1.292	0.330999
1	1.296	0.33603
1	1.3	0.341074
1	1.304	0.346129
1	1.308	0.351197
1	1.312	0.356277
1	1.316	0.361369
1	1.32	0.366474
1	1.324	0.37159
1	1.328	0.376719
1	1.332	0.38186
1	1.336	0.387013
1	1.34	0.392177
1	1.344	0.397354
1	1.348	0.402542
1	1.352	0.407743
1	1.356	0.412955
1	1.36	0.418179
1	1.364	0.423415
1	1.368	0.428663
1	1.372	0.433922
1	1.376	0.439193
1	1.38	0.444475
1	1.384	0.449769
1	1.388	0.455075
1	1.392	0.460392
1	1.396	0.465721
1	1.4	0.471061
1	1.404	0.476413
1	1.408	0.481776
1	1.412	0.48715
1	1.416	0.492536
1	1.42	0.497933
1	1.424	0.503341
1	1.428	0.508761
1	1.432	0.514191
1	1.436	0.519633
1	1.44	0.525086
1	1.444	0.53055
1	1.448	0.536025
1	1.452	0.541512
1	1.456	0.547009
1	1.46	0.552517
1	1.464	0.558036
1	1.468	0.563567
1	1.472	0.569108
1	1.476	0.57466
1	1.48	0.580222
1	1.484	0.585796
1	1.488	0.59138
1	1.492	0.596975
1	1.496	0.602581
1	1.5	0.608198
1	1.504	0.613825
1	1.508	0.619463
1	1.512	0.625111
1	1.516	0.63077
1	1.52	0.63644
1	1.524	0.64212
1	1.528	0.64781
1	1.532	0.653511
1	1.536	0.659223
1	1.54	0.664945
1	1.544	0.670677
1	1.548	0.67642
1	1.552	0.682173
1	1.556	0.687936
1	1.56	0.69371
1	1.564	0.699494
1	1.568	0.705288
1	1.572	0.711092
1	1.576	0.716907
1	1.58	0.722731
1	1.584	0.728566
1	1.588	0.734411
1	1.592	0.740266
1	1.596	0.746131
1	1.6	0.752006
1	1.604	0.757891
1	1.608	0.763786
1	1.612	0.769691
1	1.616	0.775606
1	1.62	0.78153
1	1.624	0.787465
1	1.628	0.793409
1	1.632	0.799364
1	1.636	0.805328
1	1.64	0.811302
1	1.644	0.817285
1	1.648	0.823279
1	1.652	0.829282
1	1.656	0.835295
1	1.66	0.841317
1	1.664	0.847349
1	1.668	0.853391
1	1.672	0.859442
1	1.676	0.865503
1	1.68	0.871574
1	1.684	0.877654
1	1.688	0.883743
1	1.692	0.889842
1	1.696	0.89595
1	1.7	0.902068
1	1.704	0.908195
1	1.708	0.914332
1	1.712	0.920478
1	1.716	0.926633
1	1.72	0.932798
1	1.724	0.938972
1	1.728	0.945155
1	1.732	0.951347
1	1.736	0.957549
1	1.74	0.96376
1	1.744	0.96998
1	1.748	0.97621
1	1.752	0.982448
1	1.756	0.988696
1	1.76	0.994952
1	1.764	1.00122
1	1.768	1.00749
1	1.772	1.01378
1	1.776	1.02007
1	1.78	1.02637
1	1.784	1.03268
1	1.788	1.039
1	1.792	1.04533
1	1.796	1.05167
1	1.8	1.05802
1	1.804	1.06437
1	1.808	1.07074
1	1.812	1.07711
1	1.816	1.08349
1	1.82	1.08988
1	1.824	1.09628
1	1.828	1.10269
1	1.832	1.10911
1	1.836	1.11553
1	1.84	1.12197
1	1.844	1.12841
1	1.848	1.13486
1	1.852	1.14132
1	1.856	1.14779
1	1.86	1.15427
1	1.864	1.16076
1	1.868	1.16725
1	1.872	1.17376
1	1.876	1.18027
1	1.88	1.18679
1	1.884	1.19332
1	1.888	1.19986
1	1.892	1.2064
1	1.896	1.21296
1	1.9	1.21952
1	1.904	1.22609
